city,lat,lon,elevation,bortle
冷湖,38.76,93.39,2800,1
稻城,29.05,100.30,3750,2
拉萨,29.65,91.10,3650,2
丽江,26.86,100.23,2400,3
香格里拉,27.83,99.70,3300,3
敦煌,40.14,94.66,1139,3
大理,25.61,100.27,1976,3
呼伦贝尔,49.21,119.75,657,3
林芝,29.65,94.35,3100,3
喀纳斯,48.70,87.04,1374,2
成都,30.57,104.06,500,7
杭州,30.27,120.15,12,7
昆明,25.04,102.70,1890,5
西安,34.34,108.94,400,6
重庆,29.56,106.55,237,7
武汉,30.58,114.27,37,7
长沙,28.23,112.97,45,7
郑州,34.75,113.62,110,6
济南,36.65,116.98,27,7
青岛,36.07,120.38,0,6
南京,32.06,118.78,15,7
北京,39.90,116.40,43,8
上海,31.23,121.47,4,8
广州,23.13,113.26,11,8
深圳,22.54,114.06,2,8
